#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
63.0,Ecuador,614032,,34219.0,,,,,759.0,34008.0,1895.0,2187626.0,121161.0,18055538.0,South America,29.0,528.0,8.0,,,7529.0
64.0,Costa Rica,609882,,7406.0,,564198.0,,38278.0,62.0,118062.0,1434.0,3105720.0,601211.0,5165770.0,North America,8.0,698.0,2.0,,,7410.0
65.0,Sri Lanka,596347,,15211.0,,568210.0,,12926.0,,27671.0,706.0,5726599.0,265716.0,21551584.0,Asia,36.0,1417.0,4.0,,,600.0
66.0,Panama,574856,,7520.0,,510371.0,,56965.0,35.0,130077.0,1702.0,4825959.0,1092009.0,4419339.0,North America,8.0,588.0,1.0,,,12890.0
67.0,Lithuania,570602,2603.0,7660.0,4.0,516839.0,+282,46103.0,84.0,214211.0,2876.0,6886302.0,2585200.0,2663741.0,Europe,5.0,348.0,0.0,977.0,2.0,17308.0
68.0,Slovenia,533334,,5697.0,,460846.0,,66791.0,157.0,256487.0,2740.0,2225642.0,1070340.0,2079378.0,Europe,4.0,365.0,1.0,,,32121.0
69.0,Myanmar,533144,,19302.0,,511211.0,,2631.0,,9699.0,351.0,6203992.0,112858.0,54971728.0,Asia,103.0,2848.0,9.0,,,48.0
70.0,Uruguay,512841,,6243.0,,425044.0,,81554.0,68.0,146850.0,1788.0,4805736.0,1376103.0,3492279.0,South America,7.0,559.0,1.0,,,23353.0
71.0,Norway,512393,,1381.0,,88952.0,,422060.0,76.0,93391.0,252.0,9641288.0,1757261.0,5486543.0,Europe,11.0,3973.0,1.0,,,76926.0
72.0,Paraguay,501189,,16821.0,,451120.0,,33248.0,81.0,68963.0,2315.0,2171399.0,298784.0,7267463.0,South America,15.0,432.0,3.0,,,4575.0
73.0,Dominican Republic,498583,,4268.0,,459470.0,,34845.0,225.0,45262.0,387.0,2783959.0,252732.0,11015464.0,North America,22.0,2581.0,4.0,,,3163.0
74.0,Kuwait,465331,,2476.0,,421442.0,,41413.0,26.0,106536.0,567.0,6445278.0,1475630.0,4367814.0,Asia,9.0,1764.0,1.0,,,9481.0
75.0,Ethiopia,457322,,7147.0,,373622.0,,76553.0,435.0,3832.0,60.0,4255823.0,35660.0,119344241.0,Africa,261.0,16699.0,28.0,,,641.0
76.0,Venezuela,455023,,5380.0,,438541.0,,11102.0,681.0,16072.0,190.0,3359014.0,118644.0,28311772.0,South America,62.0,5262.0,8.0,,,392.0
77.0,Palestine,445383,,4750.0,,435596.0,,5037.0,57.0,84291.0,899.0,2919520.0,552535.0,5283869.0,Asia,12.0,1112.0,2.0,,,953.0
78.0,Mongolia,409215,1673.0,2086.0,1.0,313256.0,,93873.0,192.0,121806.0,621.0,4030048.0,1199574.0,3359566.0,Asia,8.0,1611.0,1.0,498.0,0.3,27942.0
79.0,Egypt,400076,,22148.0,,333529.0,,44399.0,122.0,3799.0,210.0,3693367.0,35073.0,105305167.0,Africa,263.0,4755.0,29.0,,,422.0
80.0,Libya,397319,,5841.0,,384473.0,,7005.0,129.0,56637.0,833.0,2099850.0,299330.0,7015171.0,Africa,18.0,1201.0,3.0,,,999.0
81.0,Moldova,388959,,10444.0,,366904.0,,11611.0,131.0,96768.0,2598.0,2486339.0,618567.0,4019514.0,Europe,10.0,385.0,2.0,,,2889.0
82.0,Honduras,384077,,10454.0,,126927.0,,246696.0,105.0,37851.0,1030.0,1164276.0,114739.0,10147132.0,North America,26.0,971.0,9.0,,,24312.0
