#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
70.0,Honduras,136068,1130.0,3391.0,23.0,60200.0,35.0,72477.0,253.0,13619.0,339.0,341843.0,34214.0,9991206.0,North America,73.0,2946.0,29.0
71.0,Myanmar,135243,,2986.0,,118657.0,,13600.0,,2476.0,55.0,2172522.0,39781.0,54611552.0,Asia,404.0,18289.0,25.0
72.0,Oman,132146,,1516.0,,124398.0,,6232.0,22.0,25523.0,293.0,883340.0,170610.0,5177539.0,Asia,39.0,3415.0,6.0
73.0,Ethiopia,131727,,2037.0,,116392.0,,13298.0,231.0,1131.0,17.0,1895552.0,16268.0,116519198.0,Africa,885.0,57201.0,61.0
74.0,Paraguay,123359,,2535.0,,99303.0,,21521.0,209.0,17179.0,353.0,614307.0,85548.0,7180821.0,South America,58.0,2833.0,12.0
75.0,Venezuela,121117,,1116.0,,113652.0,,6349.0,108.0,4266.0,39.0,2514620.0,88571.0,28391115.0,South America,234.0,25440.0,11.0
76.0,Bosnia and Herzegovina,118383,,4509.0,,88071.0,,25803.0,,36209.0,1379.0,568743.0,173957.0,3269443.0,Europe,28.0,725.0,6.0
77.0,Nigeria,113305,,1464.0,,91200.0,,20641.0,10.0,542.0,7.0,1191866.0,5705.0,208930589.0,Africa,1844.0,142712.0,175.0
78.0,Libya,110465,,1700.0,,88062.0,,20703.0,,15957.0,246.0,605405.0,87452.0,6922739.0,Africa,63.0,4072.0,11.0
79.0,Algeria,104341,,2843.0,,70933.0,,30565.0,42.0,2356.0,64.0,,,44285687.0,Africa,424.0,15577.0,
80.0,Kenya,99308,,1734.0,,82478.0,,15096.0,29.0,1825.0,32.0,1130707.0,20778.0,54419605.0,Africa,548.0,31384.0,48.0
81.0,Bahrain,98260,,362.0,,94937.0,,2961.0,16.0,56678.0,209.0,2573875.0,1484658.0,1733648.0,Asia,18.0,4789.0,1.0
82.0,North Macedonia,89392,,2726.0,,73983.0,,12683.0,138.0,42908.0,1308.0,434568.0,208593.0,2083326.0,Europe,23.0,764.0,5.0
83.0,Kyrgyzstan,83430,162.0,1392.0,2.0,79373.0,124.0,2665.0,50.0,12673.0,211.0,636766.0,96724.0,6583343.0,Asia,79.0,4729.0,10.0
84.0,Uzbekistan,78163,72.0,620.0,,76624.0,39.0,919.0,158.0,2317.0,18.0,1377915.0,40844.0,33736115.0,Asia,432.0,54413.0,24.0
85.0,S. Korea,73518,403.0,1300.0,17.0,60180.0,712.0,12038.0,323.0,1433.0,25.0,5192129.0,101224.0,51293679.0,Asia,698.0,39457.0,10.0
86.0,Albania,68568,,1287.0,,41464.0,,25817.0,39.0,23841.0,447.0,313642.0,109053.0,2876051.0,Europe,42.0,2235.0,9.0
87.0,Norway,59456,,525.0,,49835.0,,9096.0,32.0,10920.0,96.0,3201633.0,588031.0,5444671.0,Europe,92.0,10371.0,2.0
88.0,Singapore,59157,,29.0,,58894.0,,234.0,,10068.0,5.0,6061147.0,1031549.0,5875772.0,Asia,99.0,202613.0,1.0
89.0,Ghana,58431,,358.0,,55899.0,,2174.0,36.0,1859.0,11.0,717279.0,22823.0,31428257.0,Africa,538.0,87788.0,44.0
90.0,Latvia,56720,,1012.0,,42426.0,,13282.0,95.0,30258.0,540.0,1054312.0,562437.0,1874542.0,Europe,33.0,1852.0,2.0
91.0,Montenegro,56228,,749.0,,46506.0,,8973.0,68.0,89519.0,1192.0,211376.0,336527.0,628110.0,Europe,11.0,839.0,3.0
92.0,Sri Lanka,54419,,273.0,,46594.0,,7552.0,,2535.0,13.0,1504187.0,70083.0,21462989.0,Asia,394.0,78619.0,14.0
93.0,Afghanistan,54278,,2354.0,,46554.0,,5370.0,759.0,1377.0,60.0,230202.0,5841.0,39408049.0,Asia,726.0,16741.0,171.0
