#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
190.0,CAR,15289,,113.0,,14615.0,,561.0,2.0,3048.0,23.0,81294.0,16205.0,5016678.0,Africa,328.0,44395.0,62.0,,,112.0
191.0,Monaco,15165,,63.0,,15035.0,,67.0,4.0,381193.0,1584.0,78646.0,1976875.0,39783.0,Europe,3.0,631.0,1.0,,,1684.0
192.0,Gambia,12580,,372.0,,12174.0,,34.0,,4917.0,145.0,155686.0,60851.0,2558482.0,Africa,203.0,6878.0,16.0,,,13.0
193.0,Saint Martin,12034,,63.0,,1399.0,,10572.0,7.0,302895.0,1586.0,112382.0,2828643.0,39730.0,North America,3.0,631.0,0.0,,,266096.0
194.0,Greenland,11971,,21.0,,2761.0,,9189.0,4.0,210117.0,369.0,164926.0,2894810.0,56973.0,North America,5.0,2713.0,0.0,,,161287.0
195.0,Vanuatu,11952,,14.0,,11937.0,,1.0,,37137.0,44.0,24976.0,77606.0,321832.0,Australia/Oceania,27.0,22988.0,13.0,,,3.0
196.0,Yemen,11945,,2159.0,,9124.0,,662.0,23.0,383.0,69.0,329592.0,10579.0,31154867.0,Asia,2608.0,14430.0,95.0,,,21.0
197.0,Caribbean Netherlands,11378,,36.0,,10476.0,,866.0,,426990.0,1351.0,30126.0,1130559.0,26647.0,North America,2.0,740.0,1.0,,,32499.0
198.0,Sint Maarten,10931,,89.0,,10833.0,,9.0,,248624.0,2024.0,62056.0,1411454.0,43966.0,North America,4.0,494.0,1.0,,,205.0
199.0,Eritrea,10189,,103.0,,10086.0,,0.0,,2782.0,28.0,23693.0,6470.0,3662244.0,Africa,359.0,35556.0,155.0,,,
