#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
102.0,Somalia,3106,,93.0,,1444.0,,1569.0,2.0,195.0,6.0,,,15907473.0,Africa,5122.0,171048.0,
103.0,Equatorial Guinea,3071,,51.0,,842.0,,2178.0,,2187.0,36.0,16000.0,11393.0,1404343.0,Africa,457.0,27536.0,88.0
104.0,Maldives,2913,14.0,15.0,,2340.0,1.0,558.0,12.0,5385.0,28.0,65799.0,121647.0,540901.0,Asia,186.0,36060.0,8.0
105.0,Zambia,2810,190.0,109.0,24.0,1450.0,9.0,1251.0,1.0,153.0,6.0,67944.0,3693.0,18400473.0,Africa,6548.0,168812.0,271.0
106.0,Malawi,2805,93.0,55.0,4.0,1107.0,34.0,1643.0,4.0,147.0,3.0,22296.0,1165.0,19146382.0,Africa,6826.0,348116.0,859.0
107.0,Mayotte,2782,4.0,37.0,,2591.0,10.0,154.0,3.0,10189.0,136.0,13000.0,47612.0,273040.0,Africa,98.0,7379.0,21.0
108.0,Lebanon,2700,101.0,40.0,,1485.0,,1175.0,12.0,396.0,6.0,201186.0,29482.0,6823965.0,Asia,2527.0,170599.0,34.0
109.0,Sri Lanka,2697,10.0,11.0,,2012.0,5.0,674.0,1.0,126.0,0.5,132796.0,6200.0,21417223.0,Asia,7941.0,1947020.0,161.0
110.0,Congo,2633,275.0,49.0,1.0,626.0,37.0,1958.0,,477.0,9.0,,,5522690.0,Africa,2097.0,112708.0,
111.0,Mali,2467,27.0,121.0,,1791.0,14.0,555.0,,122.0,6.0,19226.0,949.0,20269297.0,Africa,8216.0,167515.0,1054.0
112.0,Cuba,2444,4.0,87.0,,2300.0,15.0,57.0,1.0,216.0,8.0,220739.0,19489.0,11326294.0,North America,4634.0,130187.0,51.0
113.0,South Sudan,2191,20.0,43.0,2.0,1175.0,,973.0,,196.0,4.0,12044.0,1075.0,11199044.0,Africa,5111.0,260443.0,930.0
114.0,Estonia,2020,4.0,69.0,,1910.0,6.0,41.0,1.0,1523.0,52.0,113997.0,85933.0,1326576.0,Europe,657.0,19226.0,12.0
115.0,Slovakia,1965,14.0,28.0,,1523.0,9.0,414.0,2.0,360.0,5.0,237634.0,43525.0,5459764.0,Europe,2779.0,194992.0,23.0
116.0,Montenegro,1965,,26.0,,357.0,,1582.0,7.0,3129.0,41.0,28219.0,44930.0,628070.0,Europe,320.0,24157.0,22.0
117.0,Cabo Verde,1939,45.0,19.0,,902.0,,1018.0,,3486.0,34.0,41634.0,74850.0,556234.0,Africa,287.0,29275.0,13.0
118.0,Guinea-Bissau,1927,25.0,26.0,,773.0,,1128.0,5.0,978.0,13.0,1500.0,762.0,1969601.0,Africa,1022.0,75754.0,1313.0
119.0,Slovenia,1916,19.0,111.0,,1522.0,,283.0,1.0,922.0,53.0,120397.0,57912.0,2078951.0,Europe,1085.0,18729.0,17.0
120.0,Iceland,1916,2.0,10.0,,1895.0,3.0,11.0,,5613.0,29.0,106883.0,313129.0,341339.0,Europe,178.0,34134.0,3.0
121.0,Lithuania,1908,6.0,79.0,,1595.0,2.0,234.0,6.0,701.0,29.0,476121.0,175026.0,2720284.0,Europe,1426.0,34434.0,6.0
122.0,Hong Kong,1714,58.0,11.0,1.0,1264.0,10.0,439.0,8.0,229.0,1.0,442256.0,58971.0,7499556.0,Asia,4375.0,681778.0,17.0
